id,role,preapproved,mortgage,budget,timeframe,location,agent_before,utterance,,,,
buyer_001,buyer,yes,,$350000-$450000,1-3 months,Downtown,no,"Yes I'm pre-approved, looking for a 2BR condo between $350k and $450k, want to move in the next couple months.",,,,
buyer_002,buyer,no,,$250000-$300000,3-6 months,Oak Hill,yes,"Not pre-approved yet; budget around $275k, flexible timeline, prefer Oak Hill or nearby.",,,,
buyer_003,buyer,prequalified,,$800000-$1,0,0,less than 1 month,Lakeview,no,"Prequalified and ready to close fast — need a 4BR near good schools, moving within a month.",,
buyer_004,buyer,yes,,$500000-$600000,1-3 months,Maplewood,no,"Yes pre-approved. Looking for single-family home under $600k, 1–3 months timeline.",,,,
buyer_005,buyer,no,,$150000-$200000,>6 months,Suburbs,no,"I haven't been pre-approved. Budget roughly $150k–$200k, not in a hurry.",,,,
buyer_006,buyer,yes,,$1.00,200,000-$1,500,0,1-3 months,Uptown,yes,Pre-approved jumbo loan; looking for luxury townhouse in Uptown; timeline 1–3 months.
buyer_007,buyer,pending,,$400000-$500000,3-6 months,Riverside,no,"Mortgage pre-approval pending. Interested in Riveride area condos, target 3–6 months.",,,,
buyer_008,buyer,no,,$300000.00,>6 months,Oldtown,no,No preapproval yet; budget ~$300k; prefer historic districts; timeline > 6 months.,,,,
buyer_009,buyer,yes,,$220000-$260000,1-3 months,Northside,no,"Yes I'm pre-approved. Need a starter home in Northside, can move in 1–3 months.",,,,
buyer_010,buyer,no,,$450000.00,3-6 months,Midtown,no,Not pre-approved; have ~$450k to spend; timeline about 3–6 months.,,,,
buyer_011,buyer,yes,,$600000-$700000,less than 1 month,Lakeview,no,Pre-approved and ready — closing within 4 weeks if we find a good place near schools.,,,,
buyer_012,buyer,prequalified,,$320000.00,1-3 months,Brookfield,no,"Prequalified. Looking for 3BR in Brookfield, around $320k, 1–3 month window.",,,,
buyer_013,buyer,no,,$120000-$180000,>6 months,Suburbs,no,"Saving for down payment, not pre-approved — timeline over 6 months, budget around $150k.",,,,
buyer_014,buyer,yes,,$700000.00,1-3 months,Uptown,yes,"Already pre-approved; relocating for job; need house up to $700k, move in ~2 months.",,,,
buyer_015,buyer,no,,$275000.00,3-6 months,Maplewood,no,Not preapproved; budget $275k; want a 2BR close to public transit; flexible 3–6 months.,,,,
buyer_016,buyer,yes,,$350000.00,1-3 months,Oldtown,no,Yes — pre-approved FHA; looking for fixer-upper under $350k; can move soon.,,,,
buyer_017,buyer,pending,,$950000-$1,100,0,1-3 months,Riverside,yes,Pending approval but have lender lined up; searching for riverfront properties.,,
buyer_018,buyer,no,,$85.00,000-$120,0,>6 months,Outskirts,no,First-time buyer with small budget; looking for condos under $120k; timeline flexible.,,
buyer_019,buyer,yes,,$420000.00,3-6 months,Northside,no,Pre-approved conventional loan; need 3BR around $420k; 3–6 months.,,,,
buyer_020,buyer,prequalified,,$260000.00,1-3 months,Downtown,no,"Prequalified, prefer walkable downtown neighborhoods, budget ~$260k, 1–3 months.",,,,
buyer_021,buyer,no,,$900000-$1,0,0,>6 months,Uptown,yes,No preapproval yet; interested in high-end properties up to $1M; timeline is relaxed.,,
buyer_022,buyer,yes,,$200000-$250000,less than 1 month,Maplewood,no,Yes pre-approved; urgent move — need a small house under $250k within a month.,,,,
buyer_023,buyer,pending,,$450000.00,3-6 months,Lakeview,no,"Preapproval pending, looking at $450k condos with balcony; timeline 3–6 months.",,,,
buyer_024,buyer,no,,$375000.00,1-3 months,Brookfield,no,No preapproval; $375k budget; prefer good schools; aim to buy within 1–3 months.,,,,
buyer_025,buyer,yes,,$150000-$200000,3-6 months,Suburbs,no,Pre-approved with small down payment; seeking townhouse $150–200k; 3–6 months.,,,,
buyer_026,buyer,prequalified,,$525000.00,1-3 months,Oldtown,yes,"Prequalified and working with an agent, but want to see more options — move in 1–3 months.",,,,
